,0.2,0.4,0.6,0.8,1,1.2
208,-104380,-5576,-24382,-26354,21308,5082
209,-105116,-5774,-23788,-26788,21480,5828
210,-105016,-6082,-24064,-27528,22272,5622
211,-105846,-5930,-24544,-27798,22626,6132
212,-105912,-5738,-24568,-28078,23248,5656
213,-106334,-5838,-24688,-28990,24766,5168
214,-107148,-5964,-24274,-30114,25424,4066
215,-108222,-5814,-23458,-30352,25622,4446
216,-109078,-5754,-23614,-32100,25596,5106
217,-109672,-5368,-23830,-32148,25324,5654
218,-109520,-5168,-23674,-32824,25296,5838
219,-110554,-5182,-23930,-33622,25466,5952
220,-111932,-5498,-24072,-33976,25432,6230
221,-113540,-5618,-24568,-34960,25272,5694
222,-113538,-5616,-24584,-35592,25272,5646
223,-114210,-5358,-25486,-35922,25720,5966
224,-115736,-5400,-25582,-37038,25680,6030
225,-116514,-5282,-26438,-37664,26288,6014
226,-116308,-5374,-26148,-37884,26126,5886
227,-116936,-5484,-26282,-39458,26222,6058
228,-117778,-6118,-26720,-39094,25378,5556
229,-118988,-5646,-26636,-39972,25400,5846
230,-119034,-5558,-26620,-41090,25502,5352
231,-120418,-5872,-27154,-41318,25522,4958
232,-121016,-5828,-26660,-42648,25620,5378
233,-122046,-5762,-26286,-43342,25780,5122
234,-122844,-5940,-26802,-44600,25476,5000
235,-124474,-5888,-26744,-45812,25828,5492
236,-125532,-5784,-26028,-47312,25086,5858
237,-125756,-5138,-26242,-49022,25182,5518
238,-126204,-5208,-25466,-50136,25284,6238
239,-127328,-5652,-25856,-50364,25104,6686
240,-127962,-5794,-25944,-51104,25032,6514
241,-128614,-5832,-25960,-51084,24634,7290
242,-129448,-5492,-26918,-52176,24500,7930
243,-130242,-5210,-26298,-53458,24754,8128
244,-131098,-5192,-26282,-54002,25428,7562
245,-131816,-5710,-25916,-54240,25454,7198
246,-133040,-5158,-26556,-55396,25146,7248
247,-133526,-4646,-26098,-56568,25504,7118
248,-133766,-4246,-25728,-58016,25626,7916
249,-134220,-4276,-26126,-58554,26054,7766
250,-135562,-4584,-26658,-58346,25996,7636
251,-135938,-4576,-26458,-59250,26160,7108
252,-136940,-4166,-26110,-59650,27196,7066
253,-138068,-3934,-25574,-59614,27500,6904
254,-138540,-3668,-26054,-60804,26606,6690
255,-138370,-3666,-26208,-61514,26194,7280
256,-139680,-3504,-25962,-62604,26324,6974
257,-140144,-3284,-25834,-62666,26874,7112
258,-141588,-3452,-26150,-63206,27124,6666
259,-142926,-3490,-26828,-64098,26542,6678
260,-143464,-4158,-26200,-64880,26398,6296
261,-144264,-4282,-26278,-66618,27194,6394
262,-144810,-4196,-26600,-67818,27656,6664
263,-145522,-4504,-26704,-68664,27014,6922
264,-146462,-5264,-26524,-69402,26330,6868
265,-147520,-6066,-26252,-69418,27046,6758
266,-148562,-6112,-25984,-70200,26500,6474
267,-149884,-6296,-26046,-71682,26784,6236
268,-150630,-6394,-25226,-71980,27142,6262
269,-151392,-6052,-24424,-73286,26930,6194
270,-153196,-6294,-24240,-74408,26722,6366
271,-153738,-6894,-24464,-75466,26986,5998
272,-155106,-6938,-24404,-75596,27222,5464
273,-156504,-7842,-24204,-75602,26682,5158
274,-157600,-7598,-23682,-76622,26482,4622
275,-158198,-7626,-23626,-78014,26524,4658
276,-159442,-8032,-23490,-78918,26974,4482
277,-160152,-7854,-23850,-80300,26382,4404
278,-160698,-8106,-24236,-81520,27196,5060
279,-160750,-8362,-23882,-82960,26622,4968
280,-162346,-8360,-24582,-84212,26558,5172
281,-163328,-7962,-24900,-84932,26312,4894
282,-164002,-8554,-25358,-85508,26326,4042
283,-164316,-8894,-25256,-86382,26802,3586
284,-164538,-8466,-25568,-87246,26488,3876
285,-164476,-8756,-25662,-88090,26222,3772
286,-165146,-8764,-25704,-88538,26276,3508
287,-166214,-8314,-25272,-89562,26442,3688
288,-167282,-8148,-25046,-90708,26580,3470
289,-168176,-7928,-25350,-92304,26720,3332
290,-168486,-7852,-25730,-93168,26796,3364
291,-168664,-7328,-25776,-93464,26898,3380
292,-168784,-7356,-26126,-93404,27184,3388
293,-169146,-7338,-26170,-94086,27994,3320
294,-170018,-7386,-26016,-95386,28850,2950
295,-171366,-7852,-26508,-96186,30528,2534
296,-172342,-7622,-27012,-97134,30414,2374
297,-172526,-7364,-27576,-97414,30264,2216
298,-173494,-7784,-28222,-98470,30018,2380
299,-173994,-7792,-28714,-98698,30216,1912
300,-175116,-8092,-28584,-99430,29690,1222
301,-176190,-8922,-28744,-100870,30334,934
302,-176986,-9476,-28300,-101946,30538,1710
303,-177390,-9382,-27740,-103126,30950,1184
304,-177684,-9302,-27760,-104046,31078,1398
305,-179142,-9412,-27384,-104926,30426,1946
306,-180636,-8690,-27166,-105222,30450,2488
307,-181678,-8514,-27256,-105918,30842,2656
308,-183380,-8880,-28348,-106394,30564,2450
309,-184386,-9096,-28774,-107290,29914,2088
310,-185308,-9214,-29822,-108758,29016,1578
311,-186160,-8984,-30252,-108946,29650,1762
312,-186896,-9100,-29864,-109538,29804,1390
313,-187632,-8502,-30064,-109506,29384,1418
314,-188978,-8498,-30234,-110762,29614,886
315,-189362,-8084,-30760,-110862,29988,1480
316,-190066,-7452,-31248,-112462,30156,2520
317,-190548,-7598,-31494,-113278,30506,2928
318,-191380,-7536,-31782,-113574,31170,2780
319,-192268,-7338,-32246,-114346,30988,2250
320,-192948,-7212,-32442,-115378,31350,2192
321,-193410,-7316,-32670,-116246,32036,2020
322,-194262,-7508,-32650,-116854,32686,2422
323,-195696,-7704,-32840,-117886,32836,1982
324,-195722,-7876,-32534,-118146,32928,1908
325,-196534,-8080,-32922,-118306,32846,1556
326,-197448,-7980,-33128,-119466,33388,1612
327,-197282,-7658,-32938,-120298,32900,1658
328,-198490,-7992,-32390,-120570,32736,1200
329,-198716,-8484,-32896,-121758,32766,1140
330,-199456,-8098,-33280,-122146,32994,886
331,-200854,-8192,-33778,-122606,33010,998
332,-201966,-8540,-33574,-123166,33318,1014
333,-201854,-8628,-34168,-124350,33812,788
334,-202994,-7980,-34642,-125058,33622,1612
335,-203424,-7862,-34110,-125794,34160,2282
336,-204248,-7576,-34688,-127526,34092,2154
337,-204498,-8312,-34840,-128018,34386,1714
338,-205716,-8152,-34320,-129022,35114,2194
339,-205680,-8318,-34356,-129830,35184,2286
340,-206254,-7590,-34590,-130626,35540,2836
341,-207266,-7510,-34124,-131478,35068,2418
342,-207796,-7934,-34042,-132294,34404,2498
343,-208570,-8546,-33414,-133414,33166,2460
344,-209356,-8228,-34356,-133586,32982,2542
345,-210346,-8154,-35062,-134322,32996,1938
346,-211208,-8080,-35514,-134990,32288,1778
347,-211684,-8600,-35230,-135774,32216,1640
348,-211912,-8528,-35074,-136070,32440,1908
349,-212676,-8620,-35838,-137374,32456,2334
350,-213024,-8428,-36696,-138242,32472,2586
351,-213760,-8362,-36816,-139230,32782,2578
352,-214432,-8900,-36888,-140658,32940,2556
353,-215026,-8634,-37294,-141638,32686,2102
354,-215340,-8502,-38026,-141710,32872,1850
355,-215820,-8830,-37476,-143154,32810,1380
356,-216648,-9404,-38434,-143502,32638,1082
357,-217436,-8856,-38122,-144514,32128,740
358,-218462,-8936,-38644,-146002,31904,198
359,-219596,-8966,-39026,-147378,31526,156
360,-220274,-9084,-39824,-147674,31576,-224
361,-220252,-9672,-39916,-148238,31524,114
362,-220118,-9626,-40634,-149126,31998,586
363,-220780,-9664,-40860,-149206,31102,398
364,-221938,-10102,-41122,-149782,30920,304
365,-221968,-9742,-41010,-150122,30428,700
366,-222426,-9662,-41014,-150894,29904,558
367,-223350,-8932,-40132,-152122,29220,1318
368,-223286,-8762,-39508,-152586,29152,1420
369,-223986,-8482,-39262,-153838,29000,1198
370,-224912,-7916,-39488,-155174,28904,1654
371,-225350,-7418,-39198,-155818,28576,1606
372,-225954,-7926,-39146,-156730,29136,954
373,-227386,-7712,-38764,-157790,28800,858
374,-227638,-7704,-38664,-158866,28950,1006
375,-228214,-7490,-38084,-158890,28846,894
376,-228996,-7266,-37910,-159890,29188,950
377,-230124,-7484,-37796,-160578,29494,964
378,-231510,-6930,-37398,-160714,27986,1026
379,-232540,-7672,-37140,-161410,28356,864
380,-233312,-7264,-37492,-162098,27808,1056
381,-233648,-7182,-36474,-162198,28352,1014
382,-234382,-6548,-36624,-162398,28338,1462
383,-235104,-6230,-36868,-162954,28978,1530
384,-235646,-6766,-36236,-163822,28580,1430
385,-236152,-7488,-37066,-165094,28322,1454
386,-237900,-8526,-36564,-165402,28952,1264
387,-238054,-8550,-37090,-166594,29628,1120
388,-238310,-8382,-37074,-167278,29676,938
389,-239010,-8018,-37012,-168222,30060,1276
390,-239102,-7750,-37684,-169770,30352,1488
391,-239842,-8206,-38448,-170806,30992,1622
392,-240814,-8648,-39468,-172206,30444,1696
393,-241876,-8720,-39618,-172678,31164,860
394,-242294,-8500,-38864,-173850,30784,1082
395,-243126,-8460,-39150,-174578,31574,1182
396,-244128,-8330,-39892,-176150,32544,968
397,-244702,-8950,-39420,-176706,32688,662
398,-245184,-8654,-38590,-177826,32538,744
399,-245942,-8712,-38524,-178378,32900,496
400,-246132,-9402,-38072,-180482,32734,724
401,-246540,-9376,-38526,-181790,32536,656
402,-247520,-9400,-38792,-183302,32956,214
403,-248928,-9426,-38492,-184582,32834,332
404,-249306,-9842,-38498,-185666,32746,434
405,-249436,-10374,-38694,-186834,32858,314
406,-250856,-10590,-39260,-187946,33590,-24
407,-251298,-10614,-39528,-189238,33374,24
408,-251406,-11132,-39924,-190462,33702,-368
409,-252238,-11056,-39178,-191522,33726,-256
410,-253152,-11366,-39130,-192542,33260,-464
411,-254332,-11984,-39054,-193702,33880,-316
412,-254946,-11966,-39466,-194486,33878,48
413,-255544,-11716,-39012,-196198,34118,872
414,-256190,-11758,-38348,-196770,34466,1086
415,-256568,-12032,-38560,-197686,34660,1228
416,-256708,-12324,-38816,-198798,34456,1186
