,0.2,0.4,0.6,0.8,1,1.2
211,32,10354,-14888,-16000,-16866,17196
212,560,10774,-14468,-15940,-16770,17486
213,566,10960,-14862,-16180,-16856,17426
214,458,10624,-14910,-16098,-16926,17178
215,-78,10430,-14886,-16242,-16746,17162
216,-262,10308,-14954,-16252,-16852,17430
217,-136,10528,-14514,-15796,-16602,17460
218,70,10956,-14466,-15930,-16854,17312
219,-276,10684,-14500,-16216,-17222,17158
220,62,11144,-14370,-15904,-16812,17412
221,10,11252,-14368,-16176,-16808,17340
222,-52,10968,-14490,-16086,-16778,17386
223,130,10848,-14538,-16106,-17118,17264
224,-176,10688,-14740,-16304,-17240,17412
225,-606,10252,-14654,-16112,-16988,17340
226,-846,10338,-14904,-16236,-16638,17550
227,-222,10664,-14664,-15904,-16696,17462
228,-390,10466,-14478,-16160,-16868,17354
229,-34,10716,-13990,-16022,-17054,17350
230,-172,10802,-14548,-16144,-17334,17322
231,-68,10946,-14536,-15876,-16864,17336
232,-62,10870,-14776,-16146,-16822,17414
233,262,10840,-14628,-16230,-16928,17506
234,350,10678,-14940,-16316,-16808,17464
235,536,11194,-14886,-16122,-16826,17500
236,78,11004,-14870,-16032,-17290,17582
237,56,11352,-14692,-16154,-17382,17242
238,-168,10844,-14528,-16242,-16962,17386
239,246,10862,-14444,-16128,-16940,17280
240,324,11136,-14284,-15550,-16704,17416
241,70,11128,-14898,-16342,-17316,17160
242,-162,10922,-14734,-16548,-17260,17156
243,-418,10482,-14818,-16272,-16890,17460
244,-572,10414,-14956,-16124,-16926,17356
245,-470,10550,-14768,-16084,-16988,17600
246,-486,10274,-15110,-15824,-16880,17482
247,-184,10834,-15004,-15988,-16664,17704
248,-552,10720,-14918,-16034,-16682,17514
249,-366,10538,-15010,-16362,-17122,17532
250,-386,10720,-14560,-16148,-16974,17614
251,-620,10660,-14688,-15970,-16708,17670
252,-264,10780,-14436,-15848,-16738,17756
253,350,11042,-14364,-15930,-16802,17302
254,612,10910,-14474,-16114,-16820,17348
255,234,10444,-14906,-16098,-16792,17334
256,270,10712,-14890,-16060,-16924,17388
257,38,10404,-15046,-16138,-17540,17284
258,-170,10264,-15108,-16356,-17256,17272
259,-454,10242,-14580,-16440,-17342,17496
260,-190,10444,-14628,-16450,-17064,17522
261,76,10476,-14930,-16430,-17266,17750
262,598,10950,-14438,-16138,-16916,17526
263,1166,11270,-14236,-15966,-16868,17622
264,652,10598,-14604,-16658,-17580,17088
265,520,10652,-14520,-16086,-16652,17518
266,160,10776,-14562,-15872,-16338,17876
267,-384,10470,-14642,-15958,-17004,17554
268,-928,10148,-14940,-16234,-16888,17350
269,-896,10282,-14798,-15944,-16686,17490
270,-390,10556,-14570,-15932,-16548,17330
271,-34,10512,-14384,-15954,-16650,17404
272,-300,10572,-14334,-15730,-16556,17508
273,-1042,9872,-15108,-16588,-17082,17150
274,-1038,10026,-15028,-16280,-16998,17208
275,-684,10210,-14840,-16336,-16770,17540
276,-744,9804,-15032,-16030,-16660,17510
277,-832,10070,-14814,-15758,-16902,17198
278,-498,10766,-14416,-15826,-16918,17466
279,-130,10894,-14344,-15896,-17044,17446
280,-622,10738,-14704,-15924,-17004,17334
281,-790,10666,-14934,-16538,-17086,17450
282,-712,10686,-14606,-16008,-16960,17812
283,-644,10818,-14562,-15834,-16806,17646
284,-98,10946,-14580,-15852,-16630,17880
285,-636,10500,-14600,-16156,-16938,17148
286,-1030,10182,-15056,-16456,-17062,17334
287,-462,10278,-14634,-16058,-16910,17552
288,-56,10672,-14510,-15732,-17038,17738
289,296,11016,-14502,-15896,-16802,17534
290,146,10926,-14714,-15792,-16812,17302
291,600,10678,-14590,-16090,-16784,17682
292,448,10560,-14514,-16054,-16988,17804
293,50,10666,-14632,-16120,-17168,17520
294,-470,10402,-14456,-15896,-17046,17626
295,-724,10332,-15264,-16352,-17054,17558
296,-892,10298,-15066,-16352,-17128,17204
297,-888,10424,-14756,-16042,-17044,17348
298,-668,10734,-14588,-15744,-17098,17496
299,-690,10896,-14508,-16228,-16978,17402
300,-636,10736,-14530,-16202,-16586,17248
301,-468,10586,-14940,-16506,-16976,17276
302,30,10730,-14668,-16068,-16842,17624
303,280,10606,-14624,-16196,-16878,17608
304,280,10612,-14350,-15904,-16754,17600
305,338,11060,-14480,-16008,-16886,17800
306,1052,11416,-14164,-15820,-16366,17624
307,768,11056,-14302,-16038,-17126,17700
308,348,10832,-14892,-16242,-17018,17652
309,-478,10064,-15238,-16252,-17114,17108
310,-734,10242,-15060,-16284,-17150,17652
311,-656,10684,-14812,-16344,-16972,17454
312,-846,10880,-14730,-16344,-17154,17166
313,-388,10836,-14604,-16048,-16700,17460
314,-436,10804,-14516,-16250,-16926,17578
315,-838,10918,-14562,-16178,-17040,17622
316,-468,11254,-14318,-16282,-16922,17870
